qname	qlen	qstart	qend	strand	tname	tlen	tstart	tend	n_match	aln_len	mapq
chr1	2947042	2	2947041	+	chr1	2947042	2	2947041	2947039	2947039	60
chr1	2947042	208969	354338	+	chr1	2947042	838811	1025792	75648	187217	0
chr1	2947042	838811	1025792	+	chr1	2947042	208969	354338	75648	187217	0
chr1	2947042	1494068	1590900	+	chr1	2947042	1289901	1386741	63941	96961	0
chr1	2947042	1289901	1386741	+	chr1	2947042	1494068	1590900	63941	96961	0
chr1	2947042	62249	155041	-	chr1	2947042	738573	831383	56448	92963	0
chr1	2947042	738573	831383	-	chr1	2947042	62249	155041	56448	92963	0
chr1	2947042	2516873	2590933	+	chr1	2947042	2672168	2746235	46843	74158	0
chr1	2947042	2672168	2746235	+	chr1	2947042	2516873	2590933	46843	74158	0
chr1	2947042	468684	532561	+	chr1	2947042	1070913	1134747	39343	63976	0
chr1	2947042	1070913	1134747	+	chr1	2947042	468684	532561	39343	63976	0
chr1	2947042	2133145	2198661	+	chr1	2947042	1263064	1328586	38122	65694	0
chr1	2947042	1263064	1328586	+	chr1	2947042	2133145	2198661	38122	65694	0
chr1	2947042	1890537	1962287	+	chr1	2947042	1639431	1711105	37661	71926	0
chr1	2947042	1639431	1711105	+	chr1	2947042	1890537	1962287	37661	71926	0
chr1	2947042	2382189	2430470	+	chr1	2947042	655279	703579	31185	48326	0
chr1	2947042	655279	703579	+	chr1	2947042	2382189	2430470	31185	48326	0
chr1	2947042	2315734	2356310	+	chr1	2947042	1163475	1204053	24729	40633	0
chr1	2947042	1163475	1204053	+	chr1	2947042	2315734	2356310	24729	40633	0
chr1	2947042	1293119	1425153	+	chr1	2947042	1826947	1890485	35016	132191	0
chr1	2947042	1826947	1890485	+	chr1	2947042	1293119	1425153	35016	132191	0
chr1	2947042	1497289	1530173	+	chr1	2947042	1826947	1859821	21879	32946	0
chr1	2947042	1826947	1859821	+	chr1	2947042	1497289	1530173	21879	32946	0
chr1	2947042	2025488	2172479	-	chr1	2947042	2025488	2172479	18914	147294	0
chr1	2947042	2025488	2058008	-	chr1	2947042	1269882	1302397	16837	32600	0
chr1	2947042	1269882	1302397	-	chr1	2947042	2025488	2058008	16837	32600	0
chr1	2947042	1199054	1220250	+	chr1	2947042	1042611	1063820	14773	21232	0
chr1	2947042	1042611	1063820	+	chr1	2947042	1199054	1220250	14773	21232	0
chr1	2947042	2487325	2513916	-	chr1	2947042	1790088	1816671	14365	26606	0
chr1	2947042	1790088	1816671	-	chr1	2947042	2487325	2513916	14365	26606	0
chr1	2947042	1494068	1532763	+	chr1	2947042	2159975	2198672	14239	38817	0
chr1	2947042	2159975	2198672	+	chr1	2947042	1494068	1532763	14239	38817	0
chr1	2947042	2646624	2667110	+	chr1	2947042	2531204	2551714	13998	20553	0
chr1	2947042	2531204	2551714	+	chr1	2947042	2646624	2667110	13998	20553	0
chr1	2947042	413437	434380	-	chr1	2947042	545771	566717	13438	21014	0
chr1	2947042	545771	566717	-	chr1	2947042	413437	434380	13438	21014	0
chr1	2947042	1993400	2009709	+	chr1	2947042	188665	204964	11399	16338	0
chr1	2947042	188665	204964	+	chr1	2947042	1993400	2009709	11399	16338	0
chr1	2947042	35460	52112	+	chr1	2947042	1242608	1259249	10533	16697	0
chr1	2947042	1242608	1259249	+	chr1	2947042	35460	52112	10533	16697	0
chr1	2947042	875792	893067	+	chr1	2947042	357107	374369	9436	17284	0
chr1	2947042	357107	374369	+	chr1	2947042	875792	893067	9436	17284	0
chr1	2947042	2163204	2196020	+	chr1	2947042	1826947	1859760	7616	32953	0
chr1	2947042	1826947	1859760	+	chr1	2947042	2163204	2196020	7616	32953	0
chr1	2947042	2025488	2037965	-	chr1	2947042	1494078	1506552	4220	12509	0
chr1	2947042	1494078	1506552	-	chr1	2947042	2025488	2037965	4220	12509	0
chr1	2947042	1822424	1826884	+	chr1	2947042	1390028	1394490	3253	4472	0
chr1	2947042	1390028	1394490	+	chr1	2947042	1822424	1826884	3253	4472	0
chr1	2947042	1816699	1822339	+	chr1	2947042	1633721	1639367	3188	5659	0
chr1	2947042	1633721	1639367	+	chr1	2947042	1816699	1822339	3188	5659	0
chr1	2947042	1962411	1966549	-	chr1	2947042	2483076	2487211	2317	4138	0
chr1	2947042	2483076	2487211	-	chr1	2947042	1962411	1966549	2317	4138	0
chr1	2947042	2025600	2034762	-	chr1	2947042	1826947	1836094	2079	9194	0
chr1	2947042	1826947	1836094	-	chr1	2947042	2025600	2034762	2079	9194	0
chr1	2947042	2351323	2356252	+	chr1	2947042	1042614	1047547	1940	4945	0
chr1	2947042	1042614	1047547	+	chr1	2947042	2351323	2356252	1940	4945	0
