chr1	start1	end1	chr2	start2	end2	strand	length	identity	score	n_seeds	seed_density	context
chr1	11186	206203	chr1	688370	883167	-	194797	0.2478	0.0537	63716	4.579	intra
chr1	11510	299583	chr1	1477341	1765422	-	288073	0.2647	0.0011	48	0.002	intra
chr1	12889	314054	chr1	1889935	2192011	-	301165	0.2488	0.0009	45	0.002	intra
chr1	21153	296955	chr1	2337966	2613239	-	275273	0.2627	0.0011	48	0.002	intra
chr1	22499	75908	chr1	1230291	1283977	+	53409	0.2629	0.0776	11655	3.055	intra
chr1	57076	468429	chr1	1484513	1896147	+	411353	0.2607	0.0009	54	0.002	intra
chr1	65174	389715	chr1	2353363	2678662	+	324541	0.2735	0.0010	48	0.002	intra
chr1	106494	208573	chr1	1910961	2013337	+	102079	0.2627	0.1255	12249	1.680	intra
chr1	136469	488744	chr1	2124363	2476155	+	351792	0.2592	0.0009	47	0.002	intra
chr1	147190	308458	chr1	795153	956000	+	160847	0.2465	0.1203	10810	0.941	intra
chr1	176466	320528	chr1	1981690	2125183	+	143493	0.2480	0.1201	12254	1.196	intra
chr1	180385	480330	chr1	1347093	1647280	-	299945	0.2779	0.0013	55	0.003	intra
chr1	185796	531044	chr1	540324	885482	-	345158	0.2448	0.0008	45	0.002	intra
chr1	236272	445287	chr1	754891	964607	+	209015	0.2547	0.1281	11010	0.737	intra
chr1	249331	538862	chr1	1423411	1713157	-	289531	0.2495	0.0009	46	0.002	intra
chr1	260807	463123	chr1	932024	1134616	+	202316	0.2685	0.0716	55246	3.823	intra
chr1	362459	453911	chr1	526010	617933	-	91452	0.2587	0.1064	14968	2.291	intra
chr1	395600	690465	chr1	2101095	2395456	+	294361	0.2854	0.0011	47	0.002	intra
chr1	403263	488200	chr1	491732	576256	-	84524	0.2433	0.0904	14974	2.480	intra
chr1	410509	589060	chr1	1012554	1191207	+	178551	0.2649	0.0770	44090	3.457	intra
chr1	418040	767891	chr1	879313	1228657	-	349344	0.2597	0.0010	52	0.002	intra
