qname	qlen	start1	end1	strand	tname	tlen	start2	end2	n_match	length	mapq	identity
1	30427671	15	30427645	+	1	30427671	15	30427645	30149307	30427630	60	99.08529517415586
1	30427671	14804813	14909582	-	1	30427671	14804813	14909582	71213	115022	0	61.91250369494532
1	30427671	16676228	16699058	-	1	30427671	16676228	16699058	15260	22849	0	66.78629261674472
1	30427671	2788439	2800685	-	1	30427671	7352938	7365184	12178	12246	0	99.44471664216887
1	30427671	7352938	7365184	-	1	30427671	2788439	2800685	12178	12246	0	99.44471664216887
1	30427671	9676659	9691234	-	1	30427671	12713510	12728539	12136	15084	0	80.45611243701936
1	30427671	12713510	12728539	-	1	30427671	9676659	9691234	12136	15084	0	80.45611243701936
1	30427671	6191545	6204481	-	1	30427671	6191545	6204481	11622	12941	0	89.8075882852948
1	30427671	14713711	14750795	-	1	30427671	14713711	14750795	9478	37084	0	25.558192212274832
1	30427671	15821438	15835275	-	1	30427671	15178946	15192950	9340	14063	0	66.41541634075233
1	30427671	15178946	15192950	-	1	30427671	15821438	15835275	9340	14063	0	66.41541634075233
1	30427671	15833597	15847504	-	1	30427671	15178946	15192950	9278	14067	0	65.95578303831662
1	30427671	15178946	15192950	-	1	30427671	15833597	15847504	9278	14067	0	65.95578303831662
1	30427671	9676537	9691234	-	1	30427671	9004858	9015700	9403	14704	0	63.948585418933625
1	30427671	9004858	9015700	-	1	30427671	9676537	9691234	9403	14704	0	63.948585418933625
1	30427671	9004845	9015578	+	1	30427671	12713497	12728539	8996	15049	0	59.77805834274703
1	30427671	12713497	12728539	+	1	30427671	9004845	9015578	8996	15049	0	59.77805834274703
1	30427671	18846403	18854877	+	1	30427671	13734704	13743196	6765	8501	0	79.57887307375603
1	30427671	13734704	13743196	+	1	30427671	18846403	18854877	6765	8501	0	79.57887307375603
1	30427671	14082657	14094030	-	1	30427671	15041306	15052720	6595	11490	0	57.39773716275022
1	30427671	15041306	15052720	-	1	30427671	14082657	14094030	6595	11490	0	57.39773716275022
1	30427671	23497986	23509107	-	1	30427671	23177410	23189673	6335	12725	0	49.783889980353635
1	30427671	23177410	23189673	-	1	30427671	23497986	23509107	6335	12725	0	49.783889980353635
1	30427671	2788493	2800665	+	1	30427671	13172989	13192330	7009	19856	0	35.2991539081386
1	30427671	13172989	13192330	+	1	30427671	2788493	2800665	7009	19856	0	35.2991539081386
1	30427671	7352958	7365130	-	1	30427671	13172989	13192330	6996	19856	0	35.23368251410153
1	30427671	13172989	13192330	-	1	30427671	7352958	7365130	6996	19856	0	35.23368251410153
1	30427671	19336336	19345569	-	1	30427671	9676525	9691226	6505	14776	0	44.02409312398484
1	30427671	9676525	9691226	-	1	30427671	19336336	19345569	6505	14776	0	44.02409312398484
1	30427671	19336336	19345557	+	1	30427671	9004866	9015700	5807	10906	0	53.24591967724188
1	30427671	9004866	9015700	+	1	30427671	19336336	19345557	5807	10906	0	53.24591967724188
1	30427671	14883505	14908741	-	1	30427671	14082603	14107544	5599	25493	0	21.96289177421253
1	30427671	20879901	20893241	+	1	30427671	26488746	26501645	5515	13500	0	40.85185185185185
1	30427671	26488746	26501645	+	1	30427671	20879901	20893241	5515	13500	0	40.85185185185185
1	30427671	14657965	14721918	-	1	30427671	14657965	14721918	8528	74111	0	11.507063728731227
1	30427671	24583704	24592703	-	1	30427671	24583704	24592703	5410	9248	0	58.49913494809689
1	30427671	19336355	19345435	+	1	30427671	12713537	12728539	6221	15068	0	41.286169365542875
1	30427671	12713537	12728539	+	1	30427671	19336355	19345435	6221	15068	0	41.286169365542875
1	30427671	15037608	15052787	-	1	30427671	14805641	14820970	5337	15553	0	34.31492316594869
1	30427671	13482894	13490411	-	1	30427671	8453488	8461658	5384	8426	0	63.89746024210776
1	30427671	8453488	8461658	-	1	30427671	13482894	13490411	5384	8426	0	63.89746024210776
1	30427671	14805641	14816563	-	1	30427671	15041963	15052787	5280	11146	0	47.37125426161852
1	30427671	15041963	15052787	+	1	30427671	14897832	14908754	5280	11146	0	47.37125426161852
1	30427671	14897832	14908754	+	1	30427671	15041963	15052787	5280	11146	0	47.37125426161852
1	30427671	14805654	14816604	+	1	30427671	14082603	14093414	5273	11195	0	47.10138454667262
1	30427671	14082603	14093414	+	1	30427671	14805654	14816604	5273	11195	0	47.10138454667262
1	30427671	14082603	14093414	-	1	30427671	14897791	14908741	5273	11195	0	47.10138454667262
1	30427671	15209447	15215963	+	1	30427671	13131539	13137930	4916	6546	0	75.09929728078217
1	30427671	13131539	13137930	+	1	30427671	15209447	15215963	4916	6546	0	75.09929728078217
1	30427671	2369228	2421729	-	1	30427671	2369228	2421729	4918	52604	0	9.349098927838186
1	30427671	15491976	15504874	+	1	30427671	15179068	15192955	4983	13958	0	35.69995701389884
1	30427671	15179068	15192955	+	1	30427671	15491976	15504874	4983	13958	0	35.69995701389884
1	30427671	14909102	14914158	-	1	30427671	14831877	14836933	4724	5056	0	93.43354430379746
1	30427671	15491870	15504869	-	1	30427671	15833597	15847488	4934	14046	0	35.127438416631065
1	30427671	15833597	15847488	-	1	30427671	15491870	15504869	4934	14046	0	35.127438416631065
1	30427671	14831877	14836902	-	1	30427671	14909133	14914158	4705	5025	0	93.6318407960199
1	30427671	15821438	15835259	-	1	30427671	15491870	15504869	4872	14040	0	34.7008547008547
1	30427671	15491870	15504869	-	1	30427671	15821438	15835259	4872	14040	0	34.7008547008547
1	30427671	13883660	13890920	-	1	30427671	16012628	16019673	4664	7267	0	64.18054217696437
1	30427671	16012628	16019673	-	1	30427671	13883660	13890920	4664	7267	0	64.18054217696437
1	30427671	13659336	13667556	+	1	30427671	13883136	13890961	4624	8226	0	56.212010697787505
1	30427671	13883136	13890961	+	1	30427671	13659336	13667556	4624	8226	0	56.212010697787505
1	30427671	16012650	16019662	-	1	30427671	13659868	13667468	4548	7606	0	59.79489876413358
1	30427671	13659868	13667468	-	1	30427671	16012650	16019662	4548	7606	0	59.79489876413358
1	30427671	3780775	3785711	+	1	30427671	18013172	18018108	4434	4936	0	89.82982171799027
1	30427671	18013172	18018108	+	1	30427671	3780775	3785711	4434	4936	0	89.82982171799027
1	30427671	3780804	3785711	-	1	30427671	21525003	21529814	4381	4907	0	89.28061952313023
1	30427671	21525003	21529814	-	1	30427671	3780804	3785711	4381	4907	0	89.28061952313023
1	30427671	14443314	14449041	+	1	30427671	14320868	14326621	4280	5771	0	74.16392306359383
1	30427671	14320868	14326621	+	1	30427671	14443314	14449041	4280	5771	0	74.16392306359383
1	30427671	18013201	18018108	-	1	30427671	21525003	21529814	4251	4907	0	86.63134297941716
1	30427671	21525003	21529814	-	1	30427671	18013201	18018108	4251	4907	0	86.63134297941716
1	30427671	7717366	7722538	+	1	30427671	3780775	3785711	4269	5172	0	82.54060324825986
1	30427671	3780775	3785711	+	1	30427671	7717366	7722538	4269	5172	0	82.54060324825986
1	30427671	18013172	18018108	+	1	30427671	7717366	7722538	4252	5172	0	82.21191028615623
1	30427671	7717366	7722538	+	1	30427671	18013172	18018108	4252	5172	0	82.21191028615623
1	30427671	21525003	21529814	-	1	30427671	7717395	7722538	4119	5143	0	80.08944195994556
1	30427671	7717395	7722538	-	1	30427671	21525003	21529814	4119	5143	0	80.08944195994556
1	30427671	14401429	14498656	-	1	30427671	14178597	14273365	6178	103050	0	5.995147986414362
1	30427671	14178597	14225607	-	1	30427671	14451917	14498656	4864	49820	0	9.763147330389401
1	30427671	15041356	15064487	-	1	30427671	13773827	13795108	4677	24620	0	18.99675060926076
1	30427671	13773827	13795108	-	1	30427671	15041356	15064487	4677	24620	0	18.99675060926076
1	30427671	23925249	23930290	-	1	30427671	19731894	19736551	3747	5053	0	74.15396793983771
1	30427671	19731894	19736551	-	1	30427671	23925249	23930290	3747	5053	0	74.15396793983771
1	30427671	1520951	1527420	-	1	30427671	1520951	1527420	3642	6470	0	56.29057187017001
1	30427671	20938884	20945877	-	1	30427671	20938884	20945877	3622	6994	0	51.78724621103803
1	30427671	14188122	14193122	-	1	30427671	16286066	16291038	3621	5012	0	72.24660814046288
1	30427671	16286066	16291038	-	1	30427671	14188122	14193122	3621	5012	0	72.24660814046288
1	30427671	15064519	15076060	-	1	30427671	15491870	15504059	3986	13155	0	30.300266058532877
1	30427671	15491870	15504059	-	1	30427671	15064519	15076060	3986	13155	0	30.300266058532877
1	30427671	12820506	12839546	-	1	30427671	8790277	8797982	5295	19084	0	27.74575560679103
1	30427671	8790277	8797982	-	1	30427671	12820506	12839546	5295	19084	0	27.74575560679103
1	30427671	15064606	15076063	-	1	30427671	15178959	15191985	3815	13093	0	29.137707171771176
1	30427671	15178959	15191985	-	1	30427671	15064606	15076063	3815	13093	0	29.137707171771176
1	30427671	22551351	22616077	-	1	30427671	22551351	22616077	7378	77194	0	9.55773764800373
1	30427671	6538440	6543509	-	1	30427671	4406032	4411097	3514	5110	0	68.76712328767123
1	30427671	4406032	4411097	-	1	30427671	6538440	6543509	3514	5110	0	68.76712328767123
1	30427671	6538420	6543508	+	1	30427671	6704198	6709296	3503	5143	0	68.1119968889753
1	30427671	6704198	6709296	+	1	30427671	6538420	6543508	3503	5143	0	68.1119968889753
1	30427671	5911795	5916528	+	1	30427671	29474624	29479478	3464	4880	0	70.98360655737706
1	30427671	29474624	29479478	+	1	30427671	5911795	5916528	3464	4880	0	70.98360655737706
1	30427671	16298048	16302979	-	1	30427671	14188122	14193122	3451	5026	0	68.66295264623955
