/mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/arabidopsis/chr1.fa /mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/arabidopsis/chr1.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	13201252	1	13201252	13201252	13201252	100.00	30427671	30427671	43.39	43.39	1	1
17009	17258	18747048	18746800	250	249	96.40	30427671	30427671	0.00	0.00	1	1
17012	18732	3074941	3073225	1721	1717	96.69	30427671	30427671	0.01	0.01	1	1
17015	17256	12564075	12563836	242	240	90.12	30427671	30427671	0.00	0.00	1	1
17036	17258	3074698	3074475	223	224	97.77	30427671	30427671	0.00	0.00	1	1
17255	18642	1977139	1975748	1388	1392	92.64	30427671	30427671	0.00	0.00	1	1
17255	18599	8291544	8290211	1345	1334	91.66	30427671	30427671	0.00	0.00	1	1
17255	18642	12855966	12854602	1388	1365	91.34	30427671	30427671	0.00	0.00	1	1
17255	18697	29320704	29319264	1443	1441	97.44	30427671	30427671	0.00	0.00	1	1
17478	18642	18746800	18745604	1165	1197	89.70	30427671	30427671	0.00	0.00	1	1
39338	39821	3858695	3858215	484	481	83.81	30427671	30427671	0.00	0.00	1	1
39359	39801	3854793	3854356	443	438	84.38	30427671	30427671	0.00	0.00	1	1
40652	40979	3853545	3853211	328	335	81.66	30427671	30427671	0.00	0.00	1	1
55679	56283	21745090	21744488	605	603	84.23	30427671	30427671	0.00	0.00	1	1
55874	56576	28913365	28912664	703	702	90.66	30427671	30427671	0.00	0.00	1	1
55928	56576	13152524	13151880	649	645	88.23	30427671	30427671	0.00	0.00	1	1
215619	216378	8151841	8151088	760	754	86.89	30427671	30427671	0.00	0.00	1	1
256107	256655	16477702	16477164	549	539	88.97	30427671	30427671	0.00	0.00	1	1
257710	257859	258629	258480	150	150	95.33	30427671	30427671	0.00	0.00	1	1
257710	258630	4111021	4110103	921	919	97.72	30427671	30427671	0.00	0.00	1	1
257710	257859	10803341	10803192	150	150	96.00	30427671	30427671	0.00	0.00	1	1
423786	424585	1289575	1288819	800	757	84.56	30427671	30427671	0.00	0.00	1	1
431310	432073	1431028	1430266	764	763	95.68	30427671	30427671	0.00	0.00	1	1
433000	433820	17660319	17659499	821	821	98.78	30427671	30427671	0.00	0.00	1	1
499371	499960	7037292	7036691	590	602	93.71	30427671	30427671	0.00	0.00	1	1
499371	501372	17901944	17899863	2002	2082	90.67	30427671	30427671	0.01	0.01	1	1
499372	501372	22452006	22449931	2001	2076	92.99	30427671	30427671	0.01	0.01	1	1
499372	499960	23877269	23876675	589	595	93.81	30427671	30427671	0.00	0.00	1	1
499373	499960	3414840	3414251	588	590	92.79	30427671	30427671	0.00	0.00	1	1
499373	499960	19064592	19063996	588	597	95.65	30427671	30427671	0.00	0.00	1	1
499398	501372	8116817	8114770	1975	2048	92.50	30427671	30427671	0.01	0.01	1	1
499967	501373	16905208	16903799	1407	1410	92.54	30427671	30427671	0.00	0.00	1	1
500280	501110	19063764	19062923	831	842	94.90	30427671	30427671	0.00	0.00	1	1
500429	501372	19062921	19061965	944	957	95.51	30427671	30427671	0.00	0.00	1	1
515492	515575	909885	909802	84	84	98.81	30427671	30427671	0.00	0.00	1	1
515492	515572	25932151	25932071	81	81	100.00	30427671	30427671	0.00	0.00	1	1
549990	550532	1289579	1289011	543	569	85.27	30427671	30427671	0.00	0.00	1	1
552638	552712	2406907	2406833	75	75	100.00	30427671	30427671	0.00	0.00	1	1
