chr1	start1	end1	chr2	start2	end2	strand	length	identity	score	n_seeds	seed_density	context
1	444	31370	1	22980004	23011566	-	30926	0.2832	0.0064	34	0.015	intra
1	1448	67030	1	1588	67314	+	65582	0.2716	0.0067	75	0.016	intra
1	2988	30142	1	16793240	16820534	+	27154	0.2962	0.0050	22	0.011	intra
1	22828	58234	1	10881964	10916718	+	34754	0.2688	0.0047	30	0.012	intra
1	56008	87626	1	10526548	10558518	+	31618	0.2784	0.0047	26	0.012	intra
1	232504	258098	1	4110632	4136002	-	25370	0.2749	0.0119	55	0.030	intra
1	383264	424350	1	509368	550590	+	41086	0.2512	0.0100	81	0.028	intra
1	401976	432990	1	402100	433838	+	31014	0.2458	0.0087	56	0.025	intra
1	427616	481262	1	430104	484618	+	53646	0.2843	0.0072	63	0.016	intra
1	474912	501102	1	12302952	12329878	+	26190	0.2927	0.0057	25	0.013	intra
1	476056	501366	1	18722524	18747042	+	24518	0.2877	0.0059	25	0.014	intra
1	480008	501274	1	22972028	22993962	+	21266	0.2833	0.0288	109	0.072	intra
1	484360	516274	1	13246108	13277058	+	30950	0.2771	0.0036	20	0.009	intra
1	492948	517890	1	15922880	15947542	-	24662	0.3123	0.0269	101	0.057	intra
1	507744	563334	1	507812	563406	+	55590	0.2661	0.0090	89	0.022	intra
1	535024	565266	1	1234436	1264470	+	30034	0.2794	0.0155	82	0.038	intra
1	587700	647342	1	587796	647350	+	59554	0.2752	0.0147	147	0.035	intra
1	594380	640406	1	596100	641330	+	45230	0.2714	0.0097	77	0.024	intra
1	633184	659786	1	1515748	1542830	+	26602	0.2812	0.0102	48	0.025	intra
1	634040	697302	1	20103568	20167482	+	63262	0.3164	0.0037	32	0.007	intra
1	639288	707690	1	640988	709970	+	68402	0.2863	0.0033	35	0.007	intra
1	641196	670510	1	643628	672978	+	29314	0.2809	0.0051	26	0.012	intra
1	677260	710010	1	18280580	18313254	+	32674	0.2857	0.0027	15	0.006	intra
1	747964	773154	1	16977612	17002854	+	25190	0.2817	0.0164	73	0.041	intra
1	749244	776606	1	16574584	16602730	-	27362	0.2860	0.0158	74	0.038	intra
1	758224	781982	1	1249812	1273142	-	23330	0.2680	0.0133	59	0.035	intra
1	758940	785158	1	16565840	16592314	-	26218	0.2507	0.0130	70	0.037	intra
1	781304	801570	1	868788	889266	-	20266	0.2682	0.0299	117	0.081	intra
1	863556	947562	1	863704	947630	+	83926	0.2678	0.0041	58	0.010	intra
1	1164440	1250558	1	1164552	1250922	+	86118	0.2705	0.0070	101	0.016	intra
1	1250528	1292086	1	11283276	11325586	-	41558	0.2682	0.0023	17	0.006	intra
1	1408880	1537414	1	1408900	1537998	+	128534	0.3035	0.0038	66	0.007	intra
1	1443944	1470946	1	15765320	15792594	+	27002	0.2657	0.0125	64	0.033	intra
1	1599576	1628950	1	1599592	1628986	+	29374	0.2616	0.0048	27	0.013	intra
1	1826108	1858490	1	1834740	1866842	+	32102	0.2709	0.0166	97	0.042	intra
1	1930500	1977614	1	4091016	4137614	-	46598	0.2695	0.0019	16	0.005	intra
1	1975604	1995990	1	19172592	19193238	+	20386	0.2598	0.0132	54	0.037	intra
1	2020688	2046286	1	2021628	2047170	+	25542	0.2652	0.0161	79	0.043	intra
1	2158308	2258078	1	2158376	2258222	+	99770	0.2619	0.0009	15	0.002	intra
1	2190416	2235066	1	22450032	22494522	-	44490	0.2717	0.0028	22	0.007	intra
1	2214024	2234442	1	19085808	19106462	-	20418	0.2909	0.0048	17	0.012	intra
1	2214720	2235006	1	22973744	22993862	+	20118	0.2684	0.0165	64	0.045	intra
1	2219856	2257690	1	12341776	12379310	-	37534	0.2611	0.0068	48	0.018	intra
1	2333724	2367018	1	4091020	4123882	-	32862	0.2610	0.0025	16	0.007	intra
1	2484856	2537666	1	2484860	2537706	+	52810	0.2736	0.0029	26	0.007	intra
1	2488708	2532442	1	6230896	6274746	+	43734	0.2829	0.0084	61	0.020	intra
1	2580864	2632446	1	2580896	2632470	+	51574	0.2925	0.0030	24	0.007	intra
1	2585600	2605850	1	10912728	10933594	-	20250	0.2349	0.0071	33	0.023	intra
1	2789236	2815410	1	2789712	2815890	+	26174	0.2661	0.0094	47	0.025	intra
1	2846536	2871134	1	20412928	20437422	+	24494	0.2821	0.0042	18	0.010	intra
1	2847940	2892386	1	10065972	10110062	+	44090	0.3001	0.0024	16	0.005	intra
1	2941692	2987714	1	8692412	8738698	+	46022	0.2717	0.0021	17	0.005	intra
1	2973856	2996446	1	21090616	21112614	+	21998	0.2490	0.0041	19	0.012	intra
1	3018324	3040026	1	18304224	18326078	-	21702	0.2756	0.0060	24	0.015	intra
1	3029780	3074770	1	13217780	13261938	+	44158	0.2799	0.0031	23	0.007	intra
