/mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/synthetic/synthetic_genome.fasta /mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/synthetic/synthetic_genome.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	2947042	1	2947042	2947042	2947042	100.00	2947042	2947042	100.00	100.00	chr1	chr1
62242	155050	831391	738565	92809	92827	96.76	2947042	2947042	3.15	3.15	chr1	chr1
413437	434415	566718	545737	20979	20982	96.77	2947042	2947042	0.71	0.71	chr1	chr1
545737	566718	434415	413437	20982	20979	96.77	2947042	2947042	0.71	0.71	chr1	chr1
738565	831391	155050	62242	92827	92809	96.76	2947042	2947042	3.15	3.15	chr1	chr1
1269879	1302407	2058012	2025479	32529	32534	95.73	2947042	2947042	1.10	1.10	chr1	chr1
1790059	1816686	2513946	2487311	26628	26636	96.23	2947042	2947042	0.90	0.90	chr1	chr1
1962313	1966555	2487310	2483071	4243	4240	96.30	2947042	2947042	0.14	0.14	chr1	chr1
2025479	2058012	1302407	1269879	32534	32529	95.73	2947042	2947042	1.10	1.10	chr1	chr1
2025479	2037984	1506562	1494060	12506	12503	93.30	2947042	2947042	0.42	0.42	chr1	chr1
2025479	2034799	1836216	1826911	9321	9306	90.65	2947042	2947042	0.32	0.32	chr1	chr1
2025479	2058012	2172489	2139971	32534	32519	92.37	2947042	2947042	1.10	1.10	chr1	chr1
2483071	2487310	1966555	1962313	4240	4243	96.30	2947042	2947042	0.14	0.14	chr1	chr1
2487311	2513946	1816686	1790059	26636	26628	96.23	2947042	2947042	0.90	0.90	chr1	chr1
