chr1	start1	end1	chr2	start2	end2	strand	length	identity	score	n_seeds	seed_density	context
chr1	66548	155050	chr1	738564	827082	-	88502	0.2843	0.1381	4621	0.731	intra
chr1	210272	244378	chr1	840112	874206	+	34094	0.2941	0.1329	1701	0.698	intra
chr1	267676	353998	chr1	939116	1025454	+	86322	0.3108	0.1573	4673	0.758	intra
chr1	413436	451994	chr1	527256	566718	-	38558	0.2562	0.1112	840	0.305	intra
chr1	452288	530890	chr1	1054440	1133074	+	78602	0.2599	0.1154	1607	0.286	intra
chr1	656056	701214	chr1	2382968	2428106	+	45138	0.3277	0.1614	2088	0.648	intra
chr1	1167796	1204098	chr1	2320056	2356354	+	36298	0.3062	0.1421	1626	0.627	intra
chr1	1263912	1324922	chr1	2133996	2194994	+	60998	0.2743	0.1271	1956	0.449	intra
chr1	1269880	1302062	chr1	2025828	2058010	-	32182	0.2863	0.1271	748	0.325	intra
chr1	1290072	1385658	chr1	1494240	1589814	+	95574	0.2562	0.1208	3581	0.525	intra
chr1	1293084	1324570	chr1	1826912	1858386	+	31474	0.2667	0.1150	1454	0.647	intra
chr1	1394528	1425158	chr1	1859872	1890490	+	30618	0.3124	0.1442	1482	0.678	intra
chr1	1495236	1531626	chr1	2161140	2197534	+	36390	0.2582	0.1117	1184	0.456	intra
chr1	1497392	1530198	chr1	1827048	1859846	+	32798	0.2878	0.1283	1363	0.582	intra
chr1	1641500	1710954	chr1	1892608	1962130	+	69454	0.2483	0.1129	3670	0.740	intra
chr1	1827696	1859846	chr1	2163956	2196106	+	32150	0.2945	0.1321	687	0.299	intra
chr1	2025828	2073390	chr1	2124176	2172142	-	47562	0.2846	0.1170	912	0.268	intra
chr1	2519332	2586758	chr1	2674636	2742066	+	67426	0.2751	0.1287	2405	0.499	intra
chr1	2531200	2551718	chr1	2646620	2667114	+	20494	0.2810	0.1184	473	0.323	intra
